|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
150	chi	0.8571428571428571	0.5806451612903226	0.6923076923076923	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
150	ngl	0.8260869565217391	0.6129032258064516	0.7037037037037037	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
150	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
150	ngl	0.7777777777777778	0.9032258064516129	0.835820895522388	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
150	ngl	0.9333333333333333	0.9032258064516129	0.9180327868852459	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
150	ngl	0.8636363636363636	0.6129032258064516	0.7169811320754716	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
200	rf	0.8695652173913043	0.6451612903225806	0.7407407407407407	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
200	rf	1.0	0.06451612903225806	0.12121212121212122	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
200	rf	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
200	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
200	rf	1.0	0.1935483870967742	0.3243243243243243	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
200	chi	0.8461538461538461	0.7096774193548387	0.7719298245614036	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
200	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
200	chi	0.8333333333333334	0.967741935483871	0.8955223880597015	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
200	chi	0.8787878787878788	0.9354838709677419	0.90625	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
200	chi	0.9	0.5806451612903226	0.7058823529411764	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
200	ngl	0.7407407407407407	0.6451612903225806	0.689655172413793	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
200	ngl	0.8181818181818182	0.2903225806451613	0.4285714285714286	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
200	ngl	0.7941176470588235	0.8709677419354839	0.8307692307692308	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
200	ngl	0.9333333333333333	0.9032258064516129	0.9180327868852459	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
200	ngl	0.8636363636363636	0.6129032258064516	0.7169811320754716	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
250	rf	0.9090909090909091	0.6451612903225806	0.7547169811320754	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
250	rf	1.0	0.06451612903225806	0.12121212121212122	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
250	rf	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
250	rf	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
250	rf	1.0	0.3225806451612903	0.4878048780487805	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
250	chi	0.8928571428571429	0.8064516129032258	0.8474576271186439	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
250	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
250	chi	0.8709677419354839	0.8709677419354839	0.8709677419354839	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
250	chi	0.9354838709677419	0.9354838709677419	0.9354838709677419	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
250	chi	0.9090909090909091	0.6451612903225806	0.7547169811320754	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
250	ngl	0.7931034482758621	0.7419354838709677	0.7666666666666667	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
250	ngl	0.8125	0.41935483870967744	0.5531914893617021	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
250	ngl	0.8055555555555556	0.9354838709677419	0.8656716417910448	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
250	ngl	0.9310344827586207	0.8709677419354839	0.9	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
