|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
200	rf	0.875	0.25925925925925924	0.39999999999999997	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
200	rf	0.9166666666666666	0.2037037037037037	0.3333333333333333	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
200	rf	0.8846153846153846	0.42592592592592593	0.575	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
200	rf	0.8775510204081632	0.7962962962962963	0.8349514563106796	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
200	rf	0.9230769230769231	0.2222222222222222	0.35820895522388063	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pIII
200	chi	0.8444444444444444	0.7037037037037037	0.7676767676767676	logtfSIw * chi	J48	part-queries-with-paragraph_text	pIII
200	chi	0.8108108108108109	0.5555555555555556	0.6593406593406594	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pIII
200	chi	0.7407407407407407	0.7407407407407407	0.7407407407407407	logtfSIw * chi	NB	part-queries-with-paragraph_text	pIII
200	chi	0.8431372549019608	0.7962962962962963	0.8190476190476189	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pIII
200	chi	0.8823529411764706	0.5555555555555556	0.6818181818181819	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pIII
200	ngl	0.8043478260869565	0.6851851851851852	0.74	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pIII
200	ngl	0.8695652173913043	0.37037037037037035	0.5194805194805194	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pIII
200	ngl	0.7719298245614035	0.8148148148148148	0.7927927927927928	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pIII
200	ngl	0.8979591836734694	0.8148148148148148	0.8543689320388349	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pIII
200	ngl	0.8857142857142857	0.5740740740740741	0.6966292134831461	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pIII
250	rf	0.875	0.25925925925925924	0.39999999999999997	logtfSIw * rf	J48	part-queries-with-paragraph_text	pIII
250	rf	0.9375	0.2777777777777778	0.42857142857142866	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pIII
250	rf	0.8846153846153846	0.42592592592592593	0.575	logtfSIw * rf	NB	part-queries-with-paragraph_text	pIII
250	rf	0.8775510204081632	0.7962962962962963	0.8349514563106796	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pIII
