|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
500	chi	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
500	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
500	chi	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
500	chi	0.8666666666666667	0.65	0.7428571428571429	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
500	chi	0.8	0.2	0.32000000000000006	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
500	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
500	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
500	ngl	0.8333333333333334	0.75	0.7894736842105262	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
500	ngl	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
500	ngl	1.0	0.2	0.33333333333333337	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
600	rf	1.0	0.35	0.5185185185185185	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
600	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
600	rf	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
600	rf	1.0	0.6	0.7499999999999999	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
600	rf	0.6	0.15	0.24	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
600	chi	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
600	chi	1.0	0.15	0.2608695652173913	logtfSIw * chi	NBM	part-queries-with-paragraph_text	pI
600	chi	0.8823529411764706	0.75	0.8108108108108107	logtfSIw * chi	NB	part-queries-with-paragraph_text	pI
600	chi	0.8666666666666667	0.65	0.7428571428571429	logtfSIw * chi	KNN	part-queries-with-paragraph_text	pI
600	chi	0.8	0.2	0.32000000000000006	logtfSIw * chi	SVM	part-queries-with-paragraph_text	pI
600	ngl	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * ngl	J48	part-queries-with-paragraph_text	pI
600	ngl	1.0	0.15	0.2608695652173913	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	pI
600	ngl	0.8333333333333334	0.75	0.7894736842105262	logtfSIw * ngl	NB	part-queries-with-paragraph_text	pI
600	ngl	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	pI
600	ngl	1.0	0.2	0.33333333333333337	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	pI
800	rf	1.0	0.5	0.6666666666666666	logtfSIw * rf	J48	part-queries-with-paragraph_text	pI
800	rf	1.0	0.1	0.18181818181818182	logtfSIw * rf	NBM	part-queries-with-paragraph_text	pI
800	rf	0.9166666666666666	0.55	0.6874999999999999	logtfSIw * rf	NB	part-queries-with-paragraph_text	pI
800	rf	0.8333333333333334	0.5	0.625	logtfSIw * rf	KNN	part-queries-with-paragraph_text	pI
800	rf	0.5	0.2	0.28571428571428575	logtfSIw * rf	SVM	part-queries-with-paragraph_text	pI
800	chi	0.9230769230769231	0.6	0.7272727272727274	logtfSIw * chi	J48	part-queries-with-paragraph_text	pI
